title,location,width,height,fstop,exposure,iso,focal,file
Reflection,"College Station, Texas",2880,6020,5.6,1/100,12800,185,reflection_1M.jpg
Clearing,"Enchanted Rock, Texas",6000,4000,6.3,1/160,100,102,glow_2_1M.jpg
Glowing Grass,"Arroyo Seco, New Mexico",6000,4000,5.6,1/200,200,112,glow_1M.jpg
Yellow On Black,"Arroyo Seco, New Mexico",6000,4000,5.6,1/2000,400,300,yellow_on_black_1M.jpg
(Not Quite) Lightning,"College Station, Texas",6000,4000,5.6,1,1600,30,tree_1M.jpg
Glowing Leaves,"Muir Woods, California",6000,4000,6.3,1/100,100,105,glow_mw_1M.jpg
